SeccionCensal;F-of-M
0819406007;14,05Ê%
4317101007;14,05Ê%
4619001030;14,05Ê%
3004103001;14,05Ê%
4108602002;14,06Ê%
2906710066;14,06Ê%
2807908169;14,06Ê%
2809601013;14,06Ê%
1102004003;14,06Ê%
2907001025;14,07Ê%
0311902002;14,07Ê%
2801401026;14,07Ê%
2807916110;14,08Ê%
3108601011;14,08Ê%
0306506012;14,08Ê%
0821103002;14,08Ê%
2811301006;14,09Ê%
4520101001;14,09Ê%
1103201021;14,10Ê%
2005501006;14,10Ê%
0943901001;14,10Ê%
3003004060;14,10Ê%
0312202001;14,10Ê%
3002901013;14,10Ê%
2104105010;14,11Ê%
0822101009;14,11Ê%
2814801012;14,12Ê%
4601704003;14,12Ê%
2501201002;14,12Ê%
3001608012;14,12Ê%
0818704027;14,13Ê%
0608306008;14,13Ê%
4101601004;14,13Ê%
4602101017;14,14Ê%
0704601002;14,14Ê%
0490201045;14,15Ê%
0312202007;14,15Ê%
0702604022;14,15Ê%
4707601017;14,16Ê%
2807908178;14,16Ê%
5008901005;14,17Ê%
5029704059;14,18Ê%
0818703018;14,19Ê%
4103902004;14,20Ê%
2810401007;14,20Ê%
1806201005;14,20Ê%
3003901015;14,20Ê%
2001301004;14,20Ê%
2990101039;14,20Ê%
2906706001;14,21Ê%
2807901047;14,21Ê%
0801910056;14,21Ê%
2813401051;14,21Ê%
3304409018;14,21Ê%
2806503039;14,22Ê%
4109401003;14,22Ê%
0808902005;14,23Ê%
2106401002;14,23Ê%
5029710085;14,23Ê%
0801907102;14,23Ê%
3300401061;14,24Ê%
1802202001;14,24Ê%
4614503005;14,25Ê%
4701001006;14,26Ê%
0410201009;14,26Ê%
0490201028;14,27Ê%
4105901024;14,27Ê%
4721701001;14,27Ê%
3736201004;14,28Ê%
0407901003;14,28Ê%
0821702002;14,28Ê%
1904601017;14,28Ê%
3802605005;14,28Ê%
4109505010;14,29Ê%
0310404010;14,29Ê%
2813201007;14,29Ê%
0307901002;14,30Ê%
1501701011;14,31Ê%
1300504005;14,31Ê%
0704001007;14,31Ê%
4390501011;14,31Ê%
4801302005;14,32Ê%
4510701003;14,32Ê%
1913003011;14,33Ê%
2608906002;14,33Ê%
4927501006;14,34Ê%
2807301008;14,34Ê%
4501801001;14,34Ê%
4108101006;14,35Ê%
2807912108;14,35Ê%
0702603003;14,36Ê%
4618101007;14,36Ê%
1402106050;14,36Ê%
3001801003;14,37Ê%
4103804011;14,37Ê%
3003501009;14,37Ê%
4619001042;14,37Ê%
0312203003;14,39Ê%
1204005008;14,39Ê%
2805804004;14,39Ê%
2812301022;14,39Ê%
2805001003;14,39Ê%
4109102016;14,39Ê%
4618601008;14,40Ê%
1808901012;14,40Ê%
3905201002;14,40Ê%
0105902038;14,41Ê%
3901801004;14,41Ê%
3207501001;14,42Ê%
5029704062;14,43Ê%
0490201040;14,43Ê%
0405201002;14,44Ê%
4723101003;14,45Ê%
1014804012;14,45Ê%
4801703002;14,45Ê%
0615303005;14,45Ê%
3001608032;14,46Ê%
4802005029;14,46Ê%
3120105007;14,46Ê%
0705401007;14,47Ê%
2512002004;14,47Ê%
0405201010;14,47Ê%
0830101002;14,47Ê%
2806503037;14,48Ê%
2890301023;14,48Ê%
2418901004;14,48Ê%
0827903005;14,48Ê%
0407901016;14,48Ê%
0820505006;14,48Ê%
3502901003;14,49Ê%
2814501002;14,49Ê%
3727404025;14,49Ê%
3800101017;14,49Ê%
0702604005;14,49Ê%
4800101004;14,50Ê%
0821101007;14,50Ê%
2807901043;14,50Ê%
0401307044;14,50Ê%
4100404025;14,51Ê%
2608401001;14,51Ê%
2801401025;14,52Ê%
1204004022;14,52Ê%
3802302012;14,52Ê%
2807908179;14,52Ê%
0306604013;14,52Ê%
2811301010;14,53Ê%
1890501009;14,53Ê%
4801308003;14,53Ê%
0614904002;14,53Ê%
2300502008;14,53Ê%
0818704025;14,54Ê%
4624402001;14,54Ê%
4902102006;14,54Ê%
5020901002;14,54Ê%
2813001001;14,55Ê%
3001001006;14,55Ê%
4105901009;14,56Ê%
1404901001;14,57Ê%
0705401008;14,57Ê%
4602501001;14,57Ê%
3905202005;14,57Ê%
2512004014;14,59Ê%
4516101001;14,59Ê%
1923001001;14,59Ê%
1213501004;14,60Ê%
0410201007;14,61Ê%
0801903014;14,62Ê%
2813001021;14,62Ê%
2807901030;14,62Ê%
2813401048;14,62Ê%
2801401024;14,62Ê%
1102703008;14,63Ê%
1507301010;14,63Ê%
2803301003;14,63Ê%
0401306022;14,64Ê%
4217302011;14,65Ê%
4625601003;14,65Ê%
2807901049;14,65Ê%
2006906028;14,66Ê%
0312101007;14,66Ê%
0801910043;14,66Ê%
