CUSEC;COD_POSTAL;yieldPisos;yieldCasas
0301403028;03013;+;+
0301403029;03013;+;+
0301403030;03013;+;+
0301403031;03013;+;+
0301403032;03013;+;+
0301403033;03013;+;+
0301403034;03013;+;+
0301403035;03013;+;+
0301403036;03013;+;+
0301403037;03013;+;+
0301403038;03013;+;+
0301403039;03013;+;+
0301403040;03013;+;+
0301404001;03014;++;++
0301404002;03014;++;++
0301404003;03014;++;++
0301404004;03014;++;++
0301404005;03014;++;++
0301404006;03014;++;++
0301404007;03014;++;++
0301404008;03014;++;++
0301404009;03014;++;++
0301404010;03014;++;++
0301404012;03014;++;++
0301404013;03014;++;++
0301404014;03014;++;++
0301404015;03014;++;++
0301404016;03014;++;++
0301404017;03014;++;++
0301404018;03014;++;++
0301404019;03014;++;++
0301404020;03014;++;++
0301404021;03014;++;++
0301404022;03014;++;++
0301404023;03014;++;++
0301404024;03014;++;++
0301404025;03014;++;++
0301404026;03014;++;++
0301404027;03014;++;++
0301404028;03014;++;++
0301404029;03014;++;++
0301404030;03014;++;++
0301404031;03014;++;++
0301404032;03014;++;++
0301404033;03014;++;++
0301404034;03014;++;++
0301404035;03014;++;++
0301404036;03014;++;++
0301404037;03014;++;++
0301404038;03014;++;++
0301404039;03014;++;++
0301404040;03014;++;++
0301404041;03014;++;++
0301404042;03014;++;++
0301404043;03014;++;++
0301404044;03014;++;++
0301404045;03014;++;++
0301404046;03014;++;++
0301405001;03010;=;++
0301405002;03010;=;++
0301405003;03010;=;++
0301405004;03010;=;++
0301405005;03010;=;++
0301405006;03010;=;++
0301405007;03010;=;++
0301405008;03010;=;++
0301405009;03010;=;++
0301405010;03010;=;++
0301405012;03010;=;++
0301405014;03010;=;++
0301405015;03010;=;++
0301405016;03010;=;++
0301405017;03010;=;++
0301405018;03010;=;++
0301405019;03010;=;++
0301405020;03010;=;++
0301405022;03010;=;++
0301405023;03010;=;++
0301405024;03010;=;++
0301405025;03010;=;++
0301405026;03010;=;++
0301406001;03005;=;=
0301406002;03005;=;=
0301406003;03005;=;=
0301406004;03005;=;=
0301406005;03005;=;=
0301406006;03005;=;=
0301406007;03005;=;=
0301406008;03005;=;=
0301406009;03005;=;=
0301406010;03005;=;=
0301406011;03005;=;=
0301406012;03005;=;=
0301406013;03005;=;=
0301406014;03005;=;=
0301406015;03005;=;=
0301406016;03005;=;=
0301406017;03005;=;=
0301406018;03005;=;=
0301406019;03005;=;=
0301406020;03005;=;=
0301406021;03005;=;=
0301406022;03005;=;=
0301406023;03005;=;=
0301406024;03005;=;=
0301406025;03005;=;=
0301406026;03005;=;=
0301406027;03005;=;=
0301406028;03005;=;=
0301406029;03005;=;=
0301406030;03005;=;=
0301406031;03005;=;=
0301406032;03005;=;=
0301406034;03005;=;=
0301407001;03006;=;=
0301407002;03006;=;=
0301407003;03006;=;=
0301407004;03006;=;=
0301407005;03006;=;=
0301407006;03006;=;=
0301407007;03006;=;=
0301407008;03006;=;=
0301407009;03006;=;=
0301407010;03006;=;=
0301407011;03006;=;=
0301407012;03006;=;=
0301407013;03006;=;=
0301407014;03006;=;=
0301407016;03006;=;=
0301407017;03006;=;=
0301407018;03006;=;=
0301407019;03006;=;=
0301407020;03006;=;=
0301407022;03006;=;=
0301407024;03006;=;=
0301407025;03006;=;=
0301407026;03006;=;=
0301407027;03006;=;=
0301408001;03008;=;++
0301408002;03008;=;++
0301408003;03008;=;++
0301408004;03008;=;++
0301408005;03008;=;++
0301408006;03008;=;++
0301408007;03008;=;++
0301408008;03008;=;++
0301408009;03008;=;++
0301408010;03008;=;++
0301408011;03008;=;++
0301408012;03008;=;++
0301408013;03008;=;++
0301408014;03008;=;++
0301408015;03008;=;++
0301408016;03008;=;++
0301408017;03008;=;++
0301408018;03008;=;++
0301408019;03008;=;++
0301408021;03008;=;++
0301408022;03008;=;++
0301408023;03008;=;++
0301408024;03008;=;++
0301408025;03008;=;++
0301408026;03008;=;++
0301408027;03008;=;++
0301408028;03008;=;++
0301408029;03008;=;++
0301501001;03160;-;++
0301501002;03160;-;++
0301501003;03160;-;++
0301501004;03160;-;++
0301501005;03160;-;++
0301501006;03160;-;++
0301501007;03160;-;++
0301501008;03160;-;++
0301501009;03160;-;++
0301502002;03169;=;+
0301502003;03169;=;+
0301601001;03827;++;--
0301701001;03829;--;--
0301801001;03590;+;=
0301801002;03590;+;=
0301801003;03590;+;=
0301801004;03590;+;=
0301801005;03590;+;=
0301802001;03590;+;=
0301802002;03590;+;=
0301802003;03590;+;=
0301802004;03590;+;=
0301803001;03590;+;=
0301803002;03590;+;=
0301803003;03590;+;=
0301803004;03590;+;=
0301803005;03590;+;=
0301901001;03680;+;=
0301901002;03680;+;=
0301901003;03680;+;=
0301901004;03680;+;=
0301901005;03680;+;=
0301902001;03680;+;=
0301902002;03680;+;=
0301902003;03680;+;=
0301902004;03680;+;=
0301903001;03680;+;=
0301903002;03680;+;=
0301903003;03680;+;=
0301903004;03680;+;=
0301903005;03680;+;=
0301903006;03680;+;=
0301904001;03680;+;=
0301904002;03680;+;=
0301904003;03680;+;=
0301904004;03680;+;=
0302001001;03812;++;++
0302101001;03450;++;=
0302101002;03450;++;=
0302101003;03450;++;=
0302102001;03450;++;=
0302102002;03450;++;=
0302102003;03450;++;=
0302201001;03814;++;--
0302301001;03460;--;++
0302401001;03390;-;++
0302401002;03390;-;++
0302401003;03390;-;++
0302401004;03390;-;++
0302501001;03316;-;++
0302601001;03778;++;+
0302701001;03517;--;-
0302801001;03850;++;++
0302901001;03794;--;--
0303001001;03759;=;++
0303101001;03501;=;=
0303101002;03501;=;=
0303101003;03501;=;=
0303101004;03501;=;=
0303101005;03501;=;=
0303101006;03501;=;=
0303101007;03501;=;=
0303101008;03501;=;=
0303101009;03501;=;=
0303101010;03501;=;=
0303101011;03501;=;=
0303101012;03501;=;=
0303101013;03501;=;=
0303101014;03501;=;=
0303101015;03501;=;=
0303101017;03501;=;=
0303102001;03503;=;=
0303102002;03503;=;=
0303102003;03503;=;=
0303102004;03503;=;=
0303102005;03503;=;=
0303102006;03503;=;=
0303102007;03503;=;=
0303102008;03503;=;=
0303102009;03503;=;=
0303103001;03502;+;+
0303103002;03502;+;+
0303103003;03502;+;+
0303103004;03502;+;+
0303103005;03502;+;+
0303103006;03502;+;+
0303103007;03502;+;+
0303103008;03502;+;+
0303103009;03502;+;+
0303103010;03502;+;+
0303103011;03502;+;+
0303103012;03502;+;+
0303103013;03502;+;+
0303103014;03502;+;+
0303103015;03502;+;+
0303104001;03502;+;+
0303104002;03502;+;+
0303104003;03502;+;+
0303104004;03502;+;+
0303104005;03502;+;+
0303201001;03816;++;--
0303301001;03517;--;-
0303401001;03178;=;++
0303501001;03810;++;+
0303601001;03827;++;--
0303701001;03516;++;=
0303801001;03827;++;--
0303901001;03812;++;++
0304001001;03769;--;+
0304101001;03720;+;=
0304101002;03720;+;=
0304101003;03720;+;=
0304101004;03720;+;=
0304101005;03720;+;=
0304102001;03720;+;=
0304201001;03726;=;=
0304301001;03410;=;-
0304301002;03410;=;-
0304301003;03410;=;-
0304401001;03380;=;-
0304401002;03380;=;-
0304401003;03380;=;-
0304501001;03518;++;=
0304601001;03111;--;=
0304701001;03710;+;=
0304701002;03710;+;=
0304701003;03710;+;=
0304701004;03710;+;=
0304701005;03710;+;=
0304702001;03710;+;=
0304702002;03710;+;=
0304801001;03510;-;=
0304801002;03510;-;=
0304802001;03510;-;=
0304802002;03510;-;=
0304802003;03510;-;=
0304802004;03510;-;=
0304901001;03360;++;=
0304901002;03360;++;=
0304901003;03360;++;=
0304901004;03360;++;=
0304901005;03360;++;=
0304901006;03360;++;=
0304901007;03360;++;=
0304902001;03360;++;=
0304902002;03360;++;=
0304902004;03360;++;=
0304902005;03360;++;=
0305001001;03560;=;=
0305001002;03560;=;=
0305001003;03560;=;=
0305001004;03560;=;=
0305001005;03560;=;=
0305001006;03560;=;=
0305001007;03560;=;=
0305001008;03560;=;=
0305001009;03560;=;=
0305002001;03560;=;=
0305002002;03560;=;=
0305002003;03560;=;=
0305003001;03560;=;=
0305003002;03560;=;=
0305101001;03469;++;-
0305201001;03409;++;++
0305301001;03420;=;++
0305301002;03420;=;++
0305301003;03420;=;++
0305301004;03420;=;++
0305302001;03420;=;++
0305302002;03420;=;++
0305302003;03420;=;++
0305302004;03420;=;++
0305302005;03420;=;++
0305401001;03793;++;++
0305501001;03158;=;++
0305501002;03158;=;++
0305501003;03158;=;++
0305501004;03158;=;++
0305601001;03820;+;+
0305601003;03820;+;+
0305601004;03820;+;+
0305601005;03820;+;+
0305601006;03820;+;+
0305601007;03820;+;+
0305601008;03820;+;+
0305601009;03820;+;+
0305602001;03820;+;+
0305701001;03517;--;-
0305801001;03350;=;-
0305801002;03350;=;-
0305801003;03350;=;-
0305801004;03350;=;-
0305901001;03330;+;++
0305901002;03330;+;++
0305901003;03330;+;++
0305901004;03330;+;++
0305901005;03330;+;++
0305901006;03330;+;++
0305901007;03330;+;++
0305901008;03330;+;++
0305902001;03330;+;++
0305902002;03330;+;++
0305902003;03330;+;++
0305902004;03330;+;++
0305903001;03330;+;++
0305903002;03330;+;++
0305903003;03330;+;++
0305904001;03330;+;++
0305904002;03330;+;++
0305904003;03330;+;++
0305905001;03330;+;++
0305905002;03330;+;++
0305905003;03330;+;++
0306001001;03811;++;++
0306101001;03159;+;++
0306201001;03177;-;++
0306301001;03700;=;+
0306301002;03700;=;+
0306301003;03700;=;+
0306302001;03700;=;+
0306302002;03700;=;+
0306302003;03700;=;+
0306302004;03700;=;+
0306302005;03700;=;+
0306302006;03700;=;+
0306303001;03700;=;+
0306303002;03700;=;+
0306303003;03700;=;+
0306303004;03700;=;+
0306303005;03700;=;+
0306304001;03700;=;+
0306304002;03700;=;+
0306304003;03700;=;+
0306304004;03700;=;+
0306304005;03700;=;+
0306304006;03700;=;+
0306304007;03700;=;+
0306304008;03700;=;+
0306304009;03700;=;+
0306304010;03700;=;+
0306401001;03150;=;++
0306401002;03150;=;++
0306401003;03150;=;++
0306402001;03150;=;++
0306501001;03202;=;++
0306501002;03202;=;++
0306501003;03202;=;++
0306501004;03202;=;++
0306501005;03202;=;++
0306501006;03202;=;++
0306501007;03202;=;++
0306501008;03202;=;++
0306501009;03202;=;++
0306501010;03202;=;++
0306501011;03202;=;++
0306501012;03202;=;++
0306501013;03202;=;++
0306501014;03202;=;++
0306501015;03202;=;++
0306501016;03202;=;++
0306501017;03202;=;++
0306501018;03202;=;++
0306501019;03202;=;++
0306501020;03202;=;++
0306501021;03202;=;++
0306502001;03203;=;-
