SeccionCensal;longitud;latitud
0203101001;-1.946213;38.38658
0203201001;-2.068591;39.240606
0203301001;-1.438858;38.727269
0203301002;-1.483524;38.683301
0203401001;-1.567881;39.249781
0203501001;-1.970854;39.129587
0203501002;-2.024049;39.093123
0203601001;-1.63594;39.236577
0203701001;-1.701764;38.513919
0203701002;-1.697557;38.521255
0203701003;-1.706106;38.51504
0203701004;-1.713118;38.503559
0203702001;-1.700143;38.512851
0203702002;-1.697851;38.513655
0203702003;-1.697351;38.509874
0203702004;-1.701038;38.510722
0203703001;-1.701933;38.508999
0203703002;-1.699159;38.50668
0203703003;-1.69405;38.506852
0203703004;-1.685399;38.513157
0203703005;-1.694275;38.510054
0203703006;-1.696769;38.493107
0203703007;-1.676447;38.495299
0203704001;-1.775643;38.569598
0203704002;-1.577433;38.497946
0203705001;-1.797333;38.462466
0203705003;-1.700319;38.453053
0203706001;-1.598459;38.392
0203801001;-2.103141;38.944742
0203901001;-1.429041;38.966378
0204001001;-1.562489;38.960873
0204101001;-1.545606;39.160313
0204201001;-2.130863;38.319511
0204301001;-2.34434;38.969734
0204401001;-1.910263;38.489967
0204402001;-1.949626;38.572601
0204501001;-1.796139;39.263127
0204501002;-1.831454;39.261355
0204502001;-1.823137;39.20928
0204502002;-1.789643;39.219724
0204601001;-1.716525;39.204809
0204701001;-2.313756;38.722695
0204801001;-2.315685;39.221482
0204901001;-2.291719;38.491877
0205001001;-2.031543;39.170336
0205101001;-1.33975;38.781035
0205102001;-1.284469;38.75241
0205201001;-1.776743;39.170321
0205301001;-2.445957;39.099847
0205302001;-2.448606;39.029106
0205303001;-2.505638;39.025227
0205401001;-1.726618;39.283679
0205501001;-2.35993;38.143505
0205601001;-1.495008;38.634775
0205602001;-1.4821;38.601288
0205701001;-2.78971;38.935616
0205701002;-2.742334;38.999981
0205801001;-2.343615;38.58768
0205901001;-2.328873;38.669399
0206001001;-2.028023;38.737344
0206101001;-1.525609;38.793897
0206201001;-2.619031;38.705345
0206301001;-1.913274;38.711969
0206401001;-1.482265;39.05925
0206501001;-2.087238;38.814301
0206601001;-1.456839;39.148389
0206701001;-2.423776;38.481672
0206801001;-2.42994;38.776488
0206901001;-2.154937;39.204364
0206901002;-2.154029;39.206624
0206901003;-2.148636;39.199608
0206901004;-2.09873;39.216261
0206902001;-2.160064;39.204026
0206902002;-2.263865;39.151409
0206902003;-2.167336;39.209023
0206902004;-2.128379;39.147072
0206903001;-2.158347;39.208679
0206903002;-2.188129;39.245674
0207001001;-2.547497;38.57542
0207101001;-2.185038;38.789745
0207201001;-1.986145;38.332381
0207202001;-1.908899;38.339291
0207301001;-1.963382;39.218365
0207301002;-1.937736;39.28782
0207301003;-1.998532;39.254534
0207302001;-1.873822;39.273332
0207302002;-1.892634;39.208633
0207401001;-1.766298;38.632797
0207402001;-1.684718;38.639183
0207402002;-1.684421;38.596913
0207403001;-1.688092;38.589593
0207404001;-1.601738;38.605448
0207501001;-1.667644;39.10489
0207502001;-1.667163;39.143456
0207601001;-2.506606;38.581088
0207701001;-1.248497;39.194343
0207801001;-2.044673;39.319487
0207901001;-1.587593;39.371408
0207902001;-1.53826;39.354812
0208001001;-2.640856;38.579441
0208101001;-2.605284;39.264755
0208101002;-2.630308;39.129825
0208101003;-2.740441;39.141428
0208102001;-2.609195;39.26616
0208102002;-2.612368;39.266298
0208102003;-2.70343;39.251724
0208102004;-2.636125;39.308318
0208103001;-2.603862;39.271146
0208103002;-2.600589;39.270759
0208103003;-2.500916;39.286066
0208103004;-2.573255;39.306255
0208104001;-2.59902;39.268049
0208104002;-2.600573;39.262373
0208104003;-2.487512;39.19902
0208104004;-2.592683;39.26267
0208201001;-1.331795;39.323068
0208301001;-1.468242;39.117837
0208401001;-2.517469;38.462395
0208501001;-2.574777;38.800277
0208601001;-2.352098;38.357137
0208601003;-2.345739;38.328998
0290101001;-1.786491;38.810712
0290101002;-1.725242;38.74582
0300101001;-0.168732;38.859037
0300201001;-0.641679;38.44234
0300201002;-0.636717;38.436933
0300201003;-0.641095;38.439013
0300301001;-0.511931;38.786915
0300401001;-0.363324;38.510059
0300501001;-0.86797;38.179336
0300501002;-0.870592;38.177423
0300501003;-0.873955;38.176127
0300501004;-0.865664;38.181307
0300502001;-0.876094;38.178075
0300502002;-0.888613;38.212201
0300502003;-0.869095;38.183132
0300601001;-0.03099;38.755883
0300701001;-0.40146;38.793044
0300801001;-0.327461;38.664893
0300901001;-0.473383;38.699959
0300901003;-0.474627;38.696113
0300901004;-0.477339;38.697338
0300901006;-0.469176;38.697647
0300902001;-0.474424;38.684585
0300902002;-0.477472;38.691084
0300902003;-0.479412;38.692208
0300902004;-0.470546;38.690936
0300902005;-0.471845;38.695583
0300902007;-0.473835;38.691064
0300903001;-0.486415;38.690438
0300903002;-0.485441;38.693728
0300903003;-0.485374;38.695088
0300903004;-0.488562;38.693254
0300903005;-0.492376;38.689514
0300903006;-0.495187;38.687138
0300904001;-0.480413;38.695564
0300904002;-0.482185;38.697068
0300904003;-0.484377;38.697345
0300904004;-0.486259;38.695853
0300904005;-0.485834;38.696555
0300904006;-0.487601;38.697554
0300904007;-0.485537;38.698302
0300904008;-0.482852;38.693311
0300905001;-0.478182;38.699825
0300905002;-0.48129;38.699492
0300905003;-0.486062;38.700192
0300905004;-0.482956;38.700728
0300905005;-0.481717;38.701307
0300905006;-0.482004;38.704708
0300906001;-0.479068;38.701695
0300906002;-0.480504;38.702583
0300906003;-0.47769;38.703392
0300906004;-0.476301;38.705538
0300906005;-0.475079;38.702253
0300907001;-0.473427;38.705023
0300907002;-0.472063;38.707217
0300907003;-0.470291;38.705433
0300907005;-0.466774;38.705615
0300907007;-0.464968;38.708282
0300907008;-0.463552;38.707839
0300908001;-0.470742;38.70874
0300908002;-0.466602;38.713957
0300908003;-0.518462;38.681539
0300908004;-0.468597;38.709358
0300908005;-0.468048;38.708249
0300908006;-0.466732;38.70909
0300908007;-0.460261;38.71178
0301001001;-0.563752;38.780886
0301101001;-0.101639;38.580257
0301101002;-0.071045;38.563598
0301101003;-0.10624;38.579806
0301101004;-0.091186;38.581396
0301101005;-0.107577;38.593373
0301101006;-0.067141;38.571043
0301101007;-0.099554;38.578298
0301101008;-0.096336;38.577759
0301201001;-0.786858;38.064028
0301301001;-1.004073;38.343592
0301401001;-0.489937;38.336661
0301401002;-0.490761;38.339349
0301401003;-0.491662;38.340719
0301401004;-0.490085;38.341427
0301401005;-0.487981;38.342052
0301401006;-0.493003;38.342251
0301401007;-0.492673;38.344234
0301401008;-0.491325;38.345317
0301401009;-0.488977;38.345693
0301401010;-0.487108;38.346526
0301401011;-0.484966;38.347178
0301401012;-0.483;38.346511
0301401013;-0.480696;38.346698
0301401014;-0.487618;38.343954
0301401015;-0.485776;38.344201
0301401017;-0.48429;38.344641
0301401018;-0.479276;38.345298
0301401019;-0.475038;38.348288
0301401020;-0.492831;38.340246
0301401021;-0.490792;38.343038
0301401022;-0.490499;38.344179
0301401023;-0.492003;38.338775
0301401026;-0.473786;38.351197
0301402001;-0.493008;38.346048
0301402002;-0.492829;38.347674
0301402003;-0.491101;38.348894
0301402005;-0.489366;38.348354
0301402006;-0.489582;38.347052
0301402008;-0.487083;38.349392
0301402009;-0.488985;38.350351
0301402010;-0.488635;38.352028
0301402011;-0.487507;38.354787
0301402012;-0.488474;38.354749
0301402013;-0.490523;38.357481
0301402014;-0.48795;38.358311
0301402016;-0.485849;38.355988
0301402017;-0.486876;38.352706
0301402018;-0.486473;38.351259
0301402019;-0.485435;38.349821
0301402020;-0.484232;38.351464
0301402021;-0.489648;38.358941
0301402022;-0.479183;38.349944
0301402023;-0.484852;38.354858
0301402024;-0.479775;38.352851
0301402025;-0.479043;38.354196
0301402026;-0.480415;38.354218
0301402028;-0.481981;38.3551
0301402029;-0.482405;38.356656
0301402030;-0.484318;38.356919
0301402032;-0.485302;38.358885
0301402033;-0.488209;38.356952
0301403001;-0.475235;38.353908
0301403002;-0.477567;38.354539
0301403003;-0.478085;38.355712
0301403004;-0.479727;38.35642
0301403005;-0.479956;38.357418
0301403006;-0.482104;38.358213
0301403007;-0.483473;38.358504
0301403008;-0.483041;38.360264
0301403009;-0.480784;38.360078
0301403010;-0.480655;38.361882
0301403011;-0.482028;38.362723
0301403012;-0.483753;38.363974
0301403013;-0.481472;38.364218
0301403014;-0.482535;38.366101
0301403015;-0.483284;38.367527
0301403016;-0.465454;38.364429
0301403017;-0.474494;38.355469
0301403018;-0.4745;38.357007
0301403019;-0.472989;38.356677
0301403020;-0.473155;38.358831
0301403021;-0.475269;38.358353
0301403022;-0.479489;38.361796
0301403023;-0.477874;38.357493
0301403024;-0.479182;38.358425
0301403025;-0.478582;38.359337
0301403026;-0.476623;38.358639
0301403027;-0.475751;38.359967
0301403028;-0.478781;38.360331
0301403029;-0.477451;38.360893
0301403030;-0.477184;38.364094
0301403031;-0.47843;38.361471
0301403032;-0.480843;38.358695
0301403033;-0.475981;38.356502
0301403034;-0.474494;38.360198
0301403035;-0.48267;38.361667
0301403036;-0.469459;38.36671
0301403037;-0.470409;38.362008
0301403038;-0.475786;38.367819
0301403039;-0.473905;38.362953
0301403040;-0.471558;38.364343
0301404001;-0.484698;38.368644
0301404002;-0.433777;38.368005
0301404003;-0.428842;38.35859
0301404004;-0.48454;38.369929
0301404005;-0.437881;38.366704
0301404006;-0.485027;38.371326
0301404007;-0.481241;38.369803
0301404008;-0.480944;38.372863
0301404009;-0.485154;38.37301
0301404010;-0.485921;38.375398
0301404012;-0.481403;38.374054
0301404013;-0.484764;38.377024
0301404014;-0.478754;38.376165
0301404015;-0.474616;38.37062
0301404016;-0.466033;38.382531
0301404017;-0.46526;38.35721
0301404018;-0.455979;38.359955
0301404019;-0.454663;38.368242
0301404020;-0.445427;38.369852
0301404021;-0.427889;38.362241
0301404022;-0.415684;38.381535
0301404023;-0.480485;38.396317
0301404024;-0.491559;38.38155
0301404025;-0.479497;38.371394
0301404026;-0.417838;38.356371
0301404027;-0.419407;38.363124
0301404028;-0.413162;38.366119
0301404029;-0.474757;38.372236
0301404030;-0.418056;38.368756
0301404031;-0.438963;38.364182
0301404032;-0.413769;38.360547
0301404033;-0.422226;38.359989
0301404034;-0.424937;38.358164
0301404035;-0.433035;38.364765
0301404036;-0.415568;38.374732
0301404037;-0.427664;38.355481
0301404038;-0.413032;38.370707
0301404039;-0.433319;38.36245
0301404040;-0.428118;38.36597
0301404041;-0.467618;38.466398
0301404042;-0.422653;38.367198
0301404043;-0.423321;38.372771
0301404044;-0.433824;38.377733
0301404045;-0.430304;38.370549
0301404046;-0.426262;38.381752
0301405001;-0.48446;38.360475
0301405002;-0.487575;38.359973
0301405003;-0.487726;38.363934
0301405004;-0.486827;38.366907
0301405005;-0.494886;38.365476
0301405006;-0.490139;38.368097
0301405007;-0.494606;38.36915
0301405008;-0.4909;38.371752
0301405009;-0.495047;38.374787
0301405010;-0.492476;38.373756
0301405012;-0.491012;38.373972
0301405014;-0.488654;38.371244
0301405015;-0.487588;38.371844
0301405016;-0.489089;38.373509
0301405017;-0.487752;38.374074
0301405018;-0.490064;38.360344
0301405019;-0.48845;38.375886
0301405020;-0.491853;38.375351
0301405022;-0.485315;38.361744
0301405023;-0.487694;38.361481
0301405024;-0.491101;38.364954
0301405025;-0.485986;38.360384
0301405026;-0.490604;38.361936
0301406001;-0.495076;38.347409
0301406002;-0.495276;38.346135
0301406003;-0.500197;38.346633
0301406004;-0.498349;38.347412
0301406005;-0.497235;38.348986
0301406006;-0.492294;38.352454
0301406007;-0.495174;38.351969
0301406008;-0.496016;38.352807
0301406009;-0.498854;38.35097
0301406010;-0.500417;38.35285
0301406011;-0.495124;38.356963
0301406012;-0.494265;38.359997
0301406013;-0.492557;38.360647
0301406014;-0.494424;38.36315
0301406015;-0.496291;38.365761
0301406016;-0.497292;38.36307
0301406017;-0.500032;38.362311
0301406018;-0.500257;38.366376
0301406019;-0.505219;38.366993
0301406020;-0.50986;38.375155
0301406021;-0.496976;38.364444
0301406022;-0.49928;38.36891
0301406023;-0.504564;38.348221
0301406024;-0.500646;38.369496
0301406025;-0.507434;38.350876
0301406026;-0.495535;38.349001
0301406027;-0.500072;38.349657
0301406028;-0.496684;38.346825
0301406029;-0.503261;38.350214
0301406030;-0.501444;38.348327
0301406031;-0.502384;38.359321
0301406032;-0.505446;38.359026
0301406034;-0.519646;38.365035
0301407001;-0.49754;38.344522
0301407002;-0.503016;38.345693
0301407003;-0.504384;38.343514
0301407004;-0.5057;38.344664
